[25.04.2017 | 21:34:09] Pos: 1873.9, -1994.7, 13.5 | OldPos: 1830.8, -2023.1 | OldOldPos: 1810.5, -1978.2 | PlayerLevel: 1 | Name: Amerekos | Ping: 73 | Warnings: 0
[25.04.2017 | 22:00:51] Pos: 2019.1, -1975.4, 0.0 | OldPos: 2178.3, -2256.1 | OldOldPos: 2178.3, -2256.1 | PlayerLevel: 1 | Name: Jim_Santos | Ping: 68 | Warnings: 0
[25.04.2017 | 22:54:55] Pos: 2025.7, -2122.1, 45.1 | OldPos: 2045.1, -2148.5 | OldOldPos: 2054.4, -2158.4 | PlayerLevel: 1 | Name: Andrey_Bulbas | Ping: 72 | Warnings: 0
[26.04.2017 | 01:03:17] Pos: 1819.5, -1882.7, 22.6 | OldPos: 1792.3, -1895.9 | OldOldPos: 1783.4, -1899.5 | PlayerLevel: 1 | Name: Nelkis_Bigbullet | Ping: 82 | Warnings: 0
[26.04.2017 | 01:53:41] Pos: 1838.0, -1949.9, 28.1 | OldPos: 1809.1, -1931.4 | OldOldPos: 1783.7, -1921.0 | PlayerLevel: 1 | Name: Babylita_Zinoidovnaa | Ping: 61 | Warnings: 0
[26.04.2017 | 02:22:19] Pos: 1654.3, -1597.4, 81.8 | OldPos: 1691.7, -1601.3 | OldOldPos: 1714.4, -1602.3 | PlayerLevel: 1 | Name: Homago_Wolkerson | Ping: 87 | Warnings: 0
[26.04.2017 | 04:54:30] Pos: 1625.1, -1799.3, 56.1 | OldPos: 1590.0, -1788.9 | OldOldPos: 1559.5, -1780.2 | PlayerLevel: 2 | Name: Samuel_Mason | Ping: 102 | Warnings: 3
[26.04.2017 | 06:46:58] Pos: 1178.4, -1616.1, 63.8 | OldPos: 1212.3, -1627.7 | OldOldPos: 1239.0, -1636.7 | PlayerLevel: 1 | Name: Alex_Ramzesso | Ping: 82 | Warnings: 0
[26.04.2017 | 06:58:54] Pos: 1335.6, -1707.2, 19.1 | OldPos: 1296.1, -1718.1 | OldOldPos: 1265.5, -1726.6 | PlayerLevel: 1 | Name: Anakante_Carmone | Ping: 189 | Warnings: 3
[26.04.2017 | 07:44:50] Pos: 1287.7, -1741.5, 198.7 | OldPos: 1257.5, -1746.2 | OldOldPos: 1226.8, -1750.9 | PlayerLevel: 1 | Name: Wnasbtr_Wbsjen | Ping: 179 | Warnings: 3
[26.04.2017 | 09:06:56] Pos: 1202.9, -1730.0, 13.6 | OldPos: 1481.3, -1724.8 | OldOldPos: 1481.2, -1724.8 | PlayerLevel: 1 | Name: Mario_Santos | Ping: 61 | Warnings: 0
[26.04.2017 | 10:08:41] Pos: -2516.8, 992.4, 93.0 | OldPos: -2551.4, 1001.1 | OldOldPos: -2578.3, 1006.6 | PlayerLevel: 4 | Name: Jordan_Malboro | Ping: 87 | Warnings: 0
[26.04.2017 | 10:17:15] Pos: 2031.6, -1754.0, 29.6 | OldPos: 2000.3, -1753.7 | OldOldPos: 1965.6, -1751.6 | PlayerLevel: 1 | Name: Avalang_Markov | Ping: 103 | Warnings: 3
[26.04.2017 | 11:41:19] Pos: 1669.6, -1892.1, 14.3 | OldPos: 1769.6, -1893.3 | OldOldPos: 1769.6, -1893.3 | PlayerLevel: 1 | Name: Ernesto_Dicken | Ping: 89 | Warnings: 0
[26.04.2017 | 11:43:15] Pos: 1626.6, -1298.6, 38.5 | OldPos: 1688.6, -1445.5 | OldOldPos: 1688.6, -1445.5 | PlayerLevel: 1 | Name: Ivan_Maksimovich | Ping: 90 | Warnings: 0
