[3.05.2017 | 11:54:44] Position: 1753.495, -1916.248, 13.569 | Velocity: 0.000, -12.694, 0.000 | PlayerLevel: 1 | Name: Rodrigo_Roque
[3.05.2017 | 17:37:58] Position: 2029.615, -1757.402, 13.546 | Velocity: 6.771, 1.773, 0.000 | PlayerLevel: 1 | Name: Jon_Bllacke
[4.05.2017 | 01:34:32] Position: 1793.404, -1918.104, 13.393 | Velocity: 8.000, 9.000, 0.000 | PlayerLevel: 1 | Name: Random_Random
[4.05.2017 | 17:50:46] Position: 409.256, -1838.307, 6.497 | Velocity: 0.000, 5.181, 0.000 | PlayerLevel: 1 | Name: Maximiliano_Aparicio
[4.05.2017 | 18:42:25] Position: 983.652, -1630.051, 26.316 | Velocity: 0.000, 8.491, -0.000 | PlayerLevel: 1 | Name: Sebastian_Ferreira
[4.05.2017 | 22:29:56] Position: 360.567, -1828.118, 5.962 | Velocity: 0.000, 5.833, 0.000 | PlayerLevel: 1 | Name: Sebastian_Ferreira
[5.05.2017 | 13:37:42] Position: -286.982, -2079.379, 1610.638 | Velocity: -8.389, 0.680, 0.142 | PlayerLevel: 2 | Name: Nikita_Isaev
[5.05.2017 | 21:40:10] Position: 2097.410, -1963.760, 16.115 | Velocity: -4.868, -18.743, 0.000 | PlayerLevel: 7 | Name: Nikita_Caypen
[5.05.2017 | 21:40:17] Position: 1155.762, -1748.235, 14.578 | Velocity: 0.000, -50.000, 0.100 | PlayerLevel: 1 | Name: Warki
[5.05.2017 | 23:11:31] Position: 1799.205, -1888.217, 13.403 | Velocity: 8.000, 8.000, 0.000 | PlayerLevel: 1 | Name: Jeepers_Workoutow
[5.05.2017 | 23:56:10] Position: 1795.402, -1904.069, 14.398 | Velocity: 0.000, -50.000, 0.100 | PlayerLevel: 1 | Name: Denis_Vcumacov
[6.05.2017 | 11:33:49] Position: 1285.745, -1850.143, 12.958 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Jonathan_Leandoer
[6.05.2017 | 12:11:51] Position: -1052.993, -1198.584, 129.002 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Kirill_Manxonow
[6.05.2017 | 14:20:59] Position: 1612.424, -1633.605, 1583.809 | Velocity: 4.000, 8.000, 0.000 | PlayerLevel: 1 | Name: Mike_Rodrigez
[6.05.2017 | 15:21:26] Position: 1886.074, -2046.306, 13.049 | Velocity: -19.374, 46.093, 0.227 | PlayerLevel: 1 | Name: Dima_loxmod
[6.05.2017 | 15:32:41] Position: -809.326, -2103.580, 1610.689 | Velocity: 0.036, -7.923, -0.023 | PlayerLevel: 1 | Name: Vladislav_Politaev
[6.05.2017 | 20:11:30] Position: 1807.651, 770.889, 12.648 | Velocity: 0.000, 21.899, -0.001 | PlayerLevel: 14 | Name: Tolya_Tempo
[6.05.2017 | 22:12:54] Position: 1761.126, -1906.693, 13.988 | Velocity: 0.000, 20.000, 0.000 | PlayerLevel: 1 | Name: Alvaro_Sata
[8.05.2017 | 15:32:25] Position: -770.747, -2050.741, 1612.185 | Velocity: -10.546, 2.344, 0.698 | PlayerLevel: 2 | Name: Vlad_Akinin
[8.05.2017 | 16:53:35] Position: 1794.370, -1891.996, 14.636 | Velocity: -79.456, -9.311, 0.047 | PlayerLevel: 1 | Name: Admih_Petux
