[9.05.2017 | 13:42:23] PlayerDistToCar: 1.4 | TickCount: 762 | PlayerLevel: 6 | Name: Andrey_Petrovish | 0.0 0.0 0.0 | veh 0.0 -0.0 -0.0 | OldHP: 920 | NewHP: 350
[9.05.2017 | 19:34:56] PlayerDistToCar: 8.8 | TickCount: 610 | PlayerLevel: 1 | Name: Natsuke_Qurez | 0.0 0.0 0.0 | veh 0.6 0.6 0.9 | OldHP: 1000 | NewHP: 350
[10.05.2017 | 21:32:26] PlayerDistToCar: 1.7 | TickCount: 84 | PlayerLevel: 7 | Name: Kirill_Golub | 0.0 0.0 0.0 | veh 0.0 -0.0 -0.0 | OldHP: 946 | NewHP: 350
[11.05.2017 | 14:50:05] PlayerDistToCar: 16.2 | TickCount: 15 | PlayerLevel: 1 | Name: Patrick_Holland | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 1000 | NewHP: 350
[13.05.2017 | 21:49:20] PlayerDistToCar: 6.0 | TickCount: 21 | PlayerLevel: 1 | Name: dadsaa | 0.0 0.0 0.0 | veh 0.0 0.0 0.0 | OldHP: 1000 | NewHP: 350
[17.05.2017 | 13:17:58] PlayerDistToCar: 10.4 | TickCount: 0 | PlayerLevel: 1 | Name: Bibla_Hight | -0.0 -0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 1000 | NewHP: 350
[17.05.2017 | 14:08:28] PlayerDistToCar: 0.7 | TickCount: 241 | PlayerLevel: 1 | Name: Bibla_Hight | -0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 902 | NewHP: 350
[18.05.2017 | 16:58:42] PlayerDistToCar: 1.4 | TickCount: 266 | PlayerLevel: 3 | Name: Ricko_Smite | 0.0 0.0 0.0 | veh 0.0 0.0 0.1 | OldHP: 658 | NewHP: 350
[19.05.2017 | 18:10:25] PlayerDistToCar: 8.8 | TickCount: 507 | PlayerLevel: 1 | Name: Ivan_Gregorashvili | 0.0 0.0 0.0 | veh 0.0 0.0 0.2 | OldHP: 943 | NewHP: 350
[19.05.2017 | 19:31:35] PlayerDistToCar: 1.4 | TickCount: 114 | PlayerLevel: 11 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 681 | NewHP: 350
[21.05.2017 | 08:06:35] PlayerDistToCar: 3.5 | TickCount: 829 | PlayerLevel: 1 | Name: Maks_Takano | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 1000 | NewHP: 350
[25.05.2017 | 00:32:08] PlayerDistToCar: 1.5 | TickCount: 869 | PlayerLevel: 10 | Name: Stephen_Amell | 0.0 0.0 0.0 | veh 0.0 -0.0 -0.0 | OldHP: 1000 | NewHP: 350
[25.05.2017 | 02:11:38] PlayerDistToCar: 2.8 | TickCount: 973 | PlayerLevel: 21 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4 | OldHP: 3000 | NewHP: 350
