[12.05.2017 | 20:57:16] Position: 1792.950, -1894.754, 17.321 | Velocity: 0.198, 0.199, 0.223 | PlayerLevel: 1 | Name: Hacker_Hack
[13.05.2017 | 15:00:05] Position: 138.009, -1866.134, -1.642 | Velocity: 0.024, 0.109, 0.050 | PlayerLevel: 2 | Name: Dima_Titov
[13.05.2017 | 15:35:17] Position: -1464.882, 510.874, -2.635 | Velocity: 0.002, -0.102, 0.032 | PlayerLevel: 4 | Name: Kostya_Grad
[13.05.2017 | 17:11:18] Position: 716.886, -1853.520, -3.247 | Velocity: -0.002, -0.092, 0.038 | PlayerLevel: 3 | Name: Lej_Leo
[13.05.2017 | 17:18:44] Position: 2533.313, -2633.167, -1.103 | Velocity: 0.000, 0.000, 0.102 | PlayerLevel: 24 | Name: Karlo_Falcone
[13.05.2017 | 17:44:30] Position: 1621.990, -117.964, -2.576 | Velocity: -0.097, -0.050, -0.078 | PlayerLevel: 3 | Name: Max_Brein
[14.05.2017 | 06:41:04] Position: -1309.515, 1589.711, -1.805 | Velocity: -0.067, 0.202, 0.009 | PlayerLevel: 15 | Name: Carl_Retty
[14.05.2017 | 11:16:23] Position: -1522.058, 590.488, -0.409 | Velocity: -0.058, -0.028, 0.083 | PlayerLevel: 8 | Name: Ashot_Besov
[14.05.2017 | 16:58:17] Position: -1466.001, 524.528, -0.307 | Velocity: 0.030, -0.048, 0.088 | PlayerLevel: 8 | Name: Ashot_Besov
[14.05.2017 | 18:32:47] Position: -1941.532, 1672.919, -5.222 | Velocity: 0.069, -0.059, -0.058 | PlayerLevel: 7 | Name: Cristopher_Rey
[14.05.2017 | 20:32:15] Position: -1475.015, 545.261, -0.711 | Velocity: 0.016, -0.100, 0.011 | PlayerLevel: 5 | Name: Eugene_Drushko
[14.05.2017 | 22:41:06] Position: 713.292, -1626.897, -3.271 | Velocity: 0.030, 0.006, 0.220 | PlayerLevel: 7 | Name: Cristopher_Rey
[15.05.2017 | 16:29:59] Position: -1459.488, 501.544, -0.661 | Velocity: -0.095, 0.061, -0.005 | PlayerLevel: 5 | Name: Eugene_Drushko
[16.05.2017 | 12:44:35] Position: 718.699, -1740.480, -1.752 | Velocity: 0.000, 0.110, 0.050 | PlayerLevel: 1 | Name: Mihana_haker
[16.05.2017 | 17:14:02] Position: -1464.908, 509.321, -0.835 | Velocity: 0.088, -0.063, 0.019 | PlayerLevel: 5 | Name: Eugene_Drushko
[16.05.2017 | 18:47:48] Position: -2982.555, 563.124, -5.845 | Velocity: -0.250, -0.113, -0.157 | PlayerLevel: 15 | Name: Carl_Retty
[16.05.2017 | 19:44:11] Position: -1511.353, 497.202, -1.089 | Velocity: 0.000, 0.000, 0.101 | PlayerLevel: 6 | Name: Sasha_Gretskiy
[17.05.2017 | 10:53:12] Position: 2998.866, 670.845, -5.766 | Velocity: -0.299, -0.150, -0.173 | PlayerLevel: 15 | Name: Carl_Retty
[17.05.2017 | 14:48:17] Position: 450.649, 571.890, -2.749 | Velocity: -0.135, 0.021, -0.046 | PlayerLevel: 6 | Name: Yon_Kazami
[17.05.2017 | 21:58:56] Position: -2311.497, 1556.840, -1.615 | Velocity: -0.082, -0.035, -0.065 | PlayerLevel: 10 | Name: Nick_Churkov
[18.05.2017 | 13:00:47] Position: 131.597, -1942.162, -6.900 | Velocity: -0.316, -0.001, 0.015 | PlayerLevel: 15 | Name: Carl_Retty
[18.05.2017 | 19:51:07] Position: 919.346, -2199.503, -2.288 | Velocity: -0.189, 0.585, 0.010 | PlayerLevel: 15 | Name: Carl_Retty
[20.05.2017 | 09:23:52] Position: -2470.637, -863.323, -5.243 | Velocity: 0.009, -0.168, -0.160 | PlayerLevel: 4 | Name: Vlad_Mironov
[20.05.2017 | 10:36:41] Position: 3039.528, -2279.593, -3.434 | Velocity: 0.492, -0.677, 0.010 | PlayerLevel: 15 | Name: Carl_Retty
[21.05.2017 | 10:50:36] Position: -2715.262, 2028.057, -2.563 | Velocity: -0.060, -0.046, 0.076 | PlayerLevel: 7 | Name: Nic_Sallt
[21.05.2017 | 11:09:34] Position: -1334.916, 528.483, -0.350 | Velocity: -0.086, 0.038, 0.090 | PlayerLevel: 3 | Name: Yukki_Deniko
[17.02.2018 | 15:40:10] Position: -880.350, -2077.594, 1610.843 | Velocity: 0.020, -0.298, -0.004 | PlayerLevel: 1 | Name: Nicolas_White
[17.02.2018 | 15:48:15] Position: 1836.525, -1439.260, 14.934 | Velocity: 0.000, 0.008, 0.108 | PlayerLevel: 1 | Name: Nicolas_White
[17.02.2018 | 15:57:05] Position: -1120.870, -1186.353, 134.851 | Velocity: -0.247, 0.167, -0.011 | PlayerLevel: 1 | Name: Nicolas_White
[17.02.2018 | 16:26:54] Position: -1990.081, 131.951, 33.406 | Velocity: -0.272, -0.125, -0.003 | PlayerLevel: 5 | Name: Nicolas_White
[17.02.2018 | 16:27:18] Position: 1435.731, -1703.444, 18.056 | Velocity: 0.199, -0.007, -0.001 | PlayerLevel: 5 | Name: Nicolas_White
