[29.04.2017 | 12:02:07] WeaponInfo[playerid][31]: 0 | PlayerLevel: 5 | Name: Timur_Sorokin
[29.04.2017 | 12:40:31] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Agat_Bonucci
[29.04.2017 | 13:42:06] WeaponInfo[playerid][25]: 0 | PlayerLevel: 6 | Name: William_Prace
[29.04.2017 | 13:43:55] WeaponInfo[playerid][8]: 0 | PlayerLevel: 1 | Name: Franklin_Mccarthy
[29.04.2017 | 14:04:29] WeaponInfo[playerid][43]: 0 | PlayerLevel: 23 | Name: Nikita_Caypen
[29.04.2017 | 14:17:16] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Daniel_Camillo
[29.04.2017 | 15:00:59] WeaponInfo[playerid][31]: 0 | PlayerLevel: 2 | Name: Niko_Nazar
[29.04.2017 | 15:49:36] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Rommy_Aguero
[29.04.2017 | 16:07:20] WeaponInfo[playerid][9]: 0 | PlayerLevel: 4 | Name: Vitalya_Golovin
[29.04.2017 | 19:03:03] WeaponInfo[playerid][34]: 0 | PlayerLevel: 7 | Name: Vitalio_Banderos
[29.04.2017 | 19:50:55] WeaponInfo[playerid][8]: 0 | PlayerLevel: 1 | Name: Danny_Archer
[29.04.2017 | 19:58:50] WeaponInfo[playerid][28]: 0 | PlayerLevel: 1 | Name: Daniel_Quadrot
[29.04.2017 | 20:01:57] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Martin_Baas
[29.04.2017 | 21:20:07] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Korlando_Beere
[29.04.2017 | 23:23:38] WeaponInfo[playerid][43]: 0 | PlayerLevel: 10 | Name: Jason_Carver
[29.04.2017 | 23:31:08] WeaponInfo[playerid][31]: 0 | PlayerLevel: 9 | Name: Czar_Rivera
[29.04.2017 | 23:36:37] WeaponInfo[playerid][26]: 0 | PlayerLevel: 2 | Name: William_Philips
[30.04.2017 | 00:15:57] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Jerom_Plombir
[30.04.2017 | 06:08:24] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Alonzo_Marino
[30.04.2017 | 07:38:16] WeaponInfo[playerid][25]: 0 | PlayerLevel: 4 | Name: Samuel_Mason
[30.04.2017 | 08:41:14] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Thomas_Carelo
[30.04.2017 | 11:38:44] WeaponInfo[playerid][8]: 0 | PlayerLevel: 3 | Name: Zakroev_Arteom
[30.04.2017 | 13:08:40] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Lunick_Taweri
[30.04.2017 | 13:14:43] WeaponInfo[playerid][3]: 0 | PlayerLevel: 3 | Name: Destroy_Etherast
[30.04.2017 | 13:58:02] WeaponInfo[playerid][1]: 0 | PlayerLevel: 2 | Name: Golub_Afanasi
[30.04.2017 | 14:12:31] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Maximiliano_Qeenside
[30.04.2017 | 14:38:40] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Andrey_danilov
[30.04.2017 | 14:42:04] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: qbKennYdp
[30.04.2017 | 14:47:00] WeaponInfo[playerid][30]: 0 | PlayerLevel: 6 | Name: Timur_Sorokin
[30.04.2017 | 15:07:03] WeaponInfo[playerid][43]: 0 | PlayerLevel: 24 | Name: Nikita_Caypen
[30.04.2017 | 15:10:28] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Jake_Wayne
[30.04.2017 | 15:57:10] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Jake_Wayne
[30.04.2017 | 17:11:57] WeaponInfo[playerid][24]: 0 | PlayerLevel: 16 | Name: Donny_Velasco
[30.04.2017 | 17:17:17] WeaponInfo[playerid][31]: 0 | PlayerLevel: 23 | Name: Takumi_Hugo
[30.04.2017 | 17:38:10] WeaponInfo[playerid][9]: 0 | PlayerLevel: 2 | Name: Dima_Bog
[30.04.2017 | 18:20:54] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Mark_Delerio
[30.04.2017 | 18:30:45] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Loxin
[30.04.2017 | 18:31:28] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: John_Shadow
[30.04.2017 | 19:04:34] WeaponInfo[playerid][24]: 0 | PlayerLevel: 8 | Name: Franklin_Bravo
[30.04.2017 | 19:49:27] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: David_Weazzy
[30.04.2017 | 19:56:26] WeaponInfo[playerid][31]: 0 | PlayerLevel: 8 | Name: Fellix_Damiano
[30.04.2017 | 20:06:17] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Charles_Bennet
[30.04.2017 | 20:31:08] WeaponInfo[playerid][43]: 0 | PlayerLevel: 2 | Name: Arnold_Kelly
[30.04.2017 | 21:19:28] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Lincoln_Parker
[30.04.2017 | 21:19:39] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Evil_Comedoz
[30.04.2017 | 22:02:00] WeaponInfo[playerid][2]: 0 | PlayerLevel: 1 | Name: Dmitriy_BreynDit
[30.04.2017 | 22:05:59] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Roza_Kasandra
[30.04.2017 | 23:22:15] WeaponInfo[playerid][24]: 0 | PlayerLevel: 7 | Name: Shoma_Kazama
[1.05.2017 | 07:29:33] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Vlad_Mendelson
[1.05.2017 | 11:09:57] WeaponInfo[playerid][24]: 0 | PlayerLevel: 10 | Name: Jason_Carver
[1.05.2017 | 11:29:09] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Ray_Warens
[1.05.2017 | 12:52:09] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Evgeniy_Kross
[1.05.2017 | 13:25:11] WeaponInfo[playerid][31]: 0 | PlayerLevel: 7 | Name: Danil_Maksemenko
[1.05.2017 | 14:08:12] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Ashot_Besov
[1.05.2017 | 14:10:29] WeaponInfo[playerid][24]: 0 | PlayerLevel: 9 | Name: Cezar_Karwas
[1.05.2017 | 14:52:03] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Picasso_Escoreze
[1.05.2017 | 15:40:27] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Flin_Balor
[1.05.2017 | 15:40:56] WeaponInfo[playerid][24]: 0 | PlayerLevel: 9 | Name: Fellix_Damiano
[1.05.2017 | 15:58:55] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Alex_Thrasher
[1.05.2017 | 16:39:03] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: GebritOnelove
[1.05.2017 | 16:39:15] WeaponInfo[playerid][31]: 0 | PlayerLevel: 13 | Name: Andy_Normand
[1.05.2017 | 16:52:23] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Evod_Seller
[1.05.2017 | 17:44:30] WeaponInfo[playerid][24]: 0 | PlayerLevel: 5 | Name: Alexandr_Rapolov
