[25.04.2017 | 21:12:27] Pos: -4.5, -1523.3, 2.3 | OldPos: -65.6, -1507.1 | OldOldPos: -67.1, -1506.6 | PlayerLevel: 6 | Name: Vitalio_Banderos | Ping: 83 | Warnings: 0
[25.04.2017 | 21:12:49] Pos: 636.5, -1604.7, 15.3 | OldPos: 636.9, -1658.8 | OldOldPos: 636.8, -1660.7 | PlayerLevel: 6 | Name: Vitalio_Banderos | Ping: 93 | Warnings: 0
[25.04.2017 | 21:42:13] Pos: 1682.0, -203.2, 40.4 | OldPos: 1603.9, 62.8 | OldOldPos: 1603.9, 62.8 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 78 | Warnings: 0
[25.04.2017 | 21:42:13] Pos: 1682.0, -203.2, 40.4 | OldPos: 1603.9, 62.8 | OldOldPos: 1603.9, 62.8 | PlayerLevel: 2 | Name: Sava_Brain | Ping: 83 | Warnings: 0
[25.04.2017 | 21:42:13] Pos: 1682.0, -203.2, 40.4 | OldPos: 1603.9, 62.8 | OldOldPos: 1603.9, 62.8 | PlayerLevel: 2 | Name: Richi_Casper | Ping: 94 | Warnings: 0
[25.04.2017 | 21:44:47] Pos: 1850.9, -1352.4, 13.1 | OldPos: 1851.5, -1425.0 | OldOldPos: 1851.5, -1425.0 | PlayerLevel: 2 | Name: Richi_Casper | Ping: 93 | Warnings: 0
[25.04.2017 | 21:44:47] Pos: 1851.0, -1351.0, 13.1 | OldPos: 1851.5, -1425.0 | OldOldPos: 1851.5, -1425.0 | PlayerLevel: 2 | Name: Sava_Brain | Ping: 88 | Warnings: 0
[25.04.2017 | 21:44:47] Pos: 1851.0, -1351.0, 13.1 | OldPos: 1851.5, -1425.0 | OldOldPos: 1851.5, -1425.0 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 78 | Warnings: 0
[25.04.2017 | 21:44:51] Pos: 1875.1, -1217.8, 17.6 | OldPos: 1851.0, -1348.4 | OldOldPos: 1851.0, -1348.4 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 78 | Warnings: 0
[25.04.2017 | 21:44:51] Pos: 1875.1, -1217.8, 17.6 | OldPos: 1851.0, -1348.4 | OldOldPos: 1851.0, -1348.4 | PlayerLevel: 2 | Name: Richi_Casper | Ping: 94 | Warnings: 0
[25.04.2017 | 21:44:51] Pos: 1875.1, -1217.8, 17.6 | OldPos: 1851.0, -1348.4 | OldOldPos: 1851.0, -1348.4 | PlayerLevel: 2 | Name: Sava_Brain | Ping: 88 | Warnings: 0
[25.04.2017 | 21:57:38] Pos: 1343.4, -1860.6, 13.1 | OldPos: 1304.3, -1851.4 | OldOldPos: 1290.3, -1850.6 | PlayerLevel: 4 | Name: Denis_Skif | Ping: 93 | Warnings: 0
[25.04.2017 | 21:57:40] Pos: 1433.0, -1872.4, 13.1 | OldPos: 1379.7, -1870.1 | OldOldPos: 1343.4, -1860.6 | PlayerLevel: 4 | Name: Denis_Skif | Ping: 93 | Warnings: 0
[25.04.2017 | 21:57:42] Pos: 1494.0, -1871.6, 13.1 | OldPos: 1433.0, -1872.4 | OldOldPos: 1379.7, -1870.1 | PlayerLevel: 4 | Name: Denis_Skif | Ping: 93 | Warnings: 0
[25.04.2017 | 22:10:57] Pos: 1709.2, -697.0, 46.3 | OldPos: 1706.1, -739.3 | OldOldPos: 1706.1, -739.3 | PlayerLevel: 4 | Name: Jordan_Malboro | Ping: 98 | Warnings: 0
[25.04.2017 | 22:18:17] Pos: -15.4, -1513.7, 1.4 | OldPos: -55.4, -1506.6 | OldOldPos: -56.6, -1506.1 | PlayerLevel: 10 | Name: Arman_Delgado | Ping: 97 | Warnings: 0
[25.04.2017 | 22:24:21] Pos: 1841.0, -2421.5, 13.1 | OldPos: 1799.0, -2435.2 | OldOldPos: 1799.0, -2435.2 | PlayerLevel: 3 | Name: Forrest_Gump | Ping: 87 | Warnings: 0
[25.04.2017 | 22:45:49] Pos: 1700.6, -606.0, 38.3 | OldPos: 1698.8, -659.8 | OldOldPos: 1698.8, -659.8 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 77 | Warnings: 0
[25.04.2017 | 22:45:57] Pos: 1656.7, -170.5, 34.7 | OldPos: 1658.5, -212.4 | OldOldPos: 1658.5, -212.4 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 87 | Warnings: 0
[25.04.2017 | 22:46:29] Pos: 1669.6, -255.1, 41.3 | OldPos: 1668.3, -179.7 | OldOldPos: 1668.3, -179.7 | PlayerLevel: 4 | Name: Dima_Dmitriev | Ping: 73 | Warnings: 0
