[26.04.2017 | 17:09:00] Pos: -1904.9, 268.5, 41.0 | OldPos: -206.8, -920.7 | OldOldPos: -205.3, -921.7 | PlayerLevel: 2 | Name: Takeshi_Akama | Ping: 86 | Warnings: 0
[26.04.2017 | 17:39:01] Pos: 1182.2, -1782.9, 13.5 | OldPos: 1355.2, -1865.7 | OldOldPos: 1356.8, -1866.1 | PlayerLevel: 1 | Name: Daniel_Haro | Ping: 95 | Warnings: 0
[26.04.2017 | 17:50:29] Pos: -626.4, -395.5, 22.4 | OldPos: -692.0, -416.9 | OldOldPos: -694.0, -417.7 | PlayerLevel: 5 | Name: Vladislav_Josan | Ping: 68 | Warnings: 0
[26.04.2017 | 18:06:06] Pos: 1113.6, -1755.5, 16.5 | OldPos: -1523.7, 701.2 | OldOldPos: -1525.1, 699.7 | PlayerLevel: 1 | Name: Artem_Kylelllov | Ping: 91 | Warnings: 0
[26.04.2017 | 18:24:18] Pos: 2822.5, -1143.1, 15.8 | OldPos: 2750.2, -1146.7 | OldOldPos: 2748.6, -1146.7 | PlayerLevel: 2 | Name: Richi_Casper | Ping: 90 | Warnings: 0
[26.04.2017 | 18:26:05] Pos: 226.1, -1669.5, 11.2 | OldPos: 197.4, -1640.0 | OldOldPos: 195.3, -1637.4 | PlayerLevel: 5 | Name: Vladislav_Josan | Ping: 66 | Warnings: 0
[26.04.2017 | 18:40:51] Pos: 2413.9, -1768.6, 13.1 | OldPos: 2414.6, -1812.2 | OldOldPos: 2414.5, -1814.3 | PlayerLevel: 1 | Name: Fernardo_Bergson | Ping: 80 | Warnings: 0
[26.04.2017 | 19:20:27] Pos: -47.3, 336.2, 44.3 | OldPos: 20.2, 326.9 | OldOldPos: 42.2, 328.4 | PlayerLevel: 3 | Name: Tony_Brown | Ping: 77 | Warnings: 0
[26.04.2017 | 19:25:29] Pos: 1441.0, -1587.8, 20.6 | OldPos: -2747.8, 536.9 | OldOldPos: -2747.8, 536.9 | PlayerLevel: 1 | Name: Diego_Volkin | Ping: 87 | Warnings: 0
[26.04.2017 | 21:59:49] Pos: 1580.2, 1768.9, 10.8 | OldPos: 1825.8, -1845.6 | OldOldPos: 1825.8, -1845.6 | PlayerLevel: 1 | Name: Nikolay_Chistikov | Ping: 69 | Warnings: 0
[26.04.2017 | 22:05:39] Pos: -1184.3, -813.2, 64.9 | OldPos: -1156.5, -842.2 | OldOldPos: -1154.7, -844.0 | PlayerLevel: 1 | Name: Evginy_Map | Ping: 89 | Warnings: 0
[26.04.2017 | 22:40:55] Pos: 1087.4, -1433.2, 13.4 | OldPos: 1050.5, -1476.8 | OldOldPos: 1046.5, -1481.5 | PlayerLevel: 1 | Name: [YT]FILLIN | Ping: 99 | Warnings: 0
[27.04.2017 | 10:51:20] Pos: 1064.0, -1850.8, 12.9 | OldPos: 1146.8, -1852.0 | OldOldPos: 1149.2, -1852.1 | PlayerLevel: 1 | Name: Egor_Medintsev | Ping: 72 | Warnings: 0
[27.04.2017 | 16:50:11] Pos: -1858.5, -1625.8, -78.1 | OldPos: 422.2, -1779.5 | OldOldPos: 422.2, -1779.5 | PlayerLevel: 3 | Name: Dima_Guy_Premium | Ping: 67 | Warnings: 0
[27.04.2017 | 18:25:49] Pos: 1822.9, -1890.0, 13.9 | OldPos: 1913.9, -1932.2 | OldOldPos: 1912.9, -1932.3 | PlayerLevel: 1 | Name: Union_Everest | Ping: 96 | Warnings: 0
[27.04.2017 | 18:44:47] Pos: 1115.1, -1229.9, 16.2 | OldPos: 1207.0, -1221.9 | OldOldPos: 1207.0, -1221.5 | PlayerLevel: 1 | Name: Timofei_Sparkle | Ping: 95 | Warnings: 0
[27.04.2017 | 19:04:10] Pos: 0.0, 0.0, 0.8 | OldPos: 1280.8, -1307.4 | OldOldPos: 1280.8, -1307.4 | PlayerLevel: 1 | Name: Alex_MCFarlane | Ping: 59 | Warnings: 0
[28.04.2017 | 02:02:12] Pos: 1685.2, -1340.4, 158.3 | OldPos: 1785.2, -1298.7 | OldOldPos: 1785.2, -1298.7 | PlayerLevel: 1 | Name: Tim_Fox | Ping: 46 | Warnings: 0
[28.04.2017 | 07:37:20] Pos: 1849.7, -1902.8, 18.7 | OldPos: 1755.6, -1888.7 | OldOldPos: 1755.6, -1888.7 | PlayerLevel: 23 | Name: Nikita_Caypen | Ping: 51 | Warnings: 0
[28.04.2017 | 13:48:07] Pos: 488.2, -1724.8, 12.0 | OldPos: -1676.2, -1640.0 | OldOldPos: -1677.5, -1640.5 | PlayerLevel: 2 | Name: Timofei_Sparkle | Ping: 89 | Warnings: 0
[28.04.2017 | 13:49:52] Pos: 0.0, 0.0, 0.0 | OldPos: -2087.0, -145.7 | OldOldPos: -2087.0, -145.7 | PlayerLevel: 1 | Name: Testoio_Carleto | Ping: 83 | Warnings: 0
[28.04.2017 | 15:03:16] Pos: 1220.4, -1838.2, 13.5 | OldPos: 1277.0, -1815.6 | OldOldPos: 1277.0, -1815.6 | PlayerLevel: 2 | Name: Anton_Kuleshov | Ping: 78 | Warnings: 0
[28.04.2017 | 15:21:00] Pos: 156.3, -1590.1, -10.0 | OldPos: 221.0, -1636.5 | OldOldPos: 285.8, -1682.9 | PlayerLevel: 1 | Name: Willyam_Logans | Ping: 116 | Warnings: 3
[28.04.2017 | 18:53:55] Pos: 1220.4, -1838.2, 13.5 | OldPos: 677.8, -1740.0 | OldOldPos: 679.6, -1740.5 | PlayerLevel: 2 | Name: Anton_Kuleshov | Ping: 78 | Warnings: 0
[28.04.2017 | 23:01:35] Pos: -2009.6, 59.4, 29.4 | OldPos: -1994.7, 129.3 | OldOldPos: -1994.4, 130.3 | PlayerLevel: 1 | Name: Homer_Tompson | Ping: 67 | Warnings: 0
[29.04.2017 | 11:33:37] Pos: 1277.0, -1830.6, 14.0 | OldPos: 1212.8, -1841.4 | OldOldPos: 1212.8, -1841.4 | PlayerLevel: 2 | Name: Tony_Coyote | Ping: 95 | Warnings: 0
[29.04.2017 | 12:11:44] Pos: 0.0, -0.0, 2.7 | OldPos: 1078.4, -1886.9 | OldOldPos: 1078.4, -1886.9 | PlayerLevel: 1 | Name: Falcone_Capone | Ping: 37 | Warnings: 0
[29.04.2017 | 12:25:34] Pos: -0.0, -0.0, 2.7 | OldPos: 1838.4, -1445.4 | OldOldPos: 1838.4, -1445.4 | PlayerLevel: 1 | Name: Falcone_Capone | Ping: 37 | Warnings: 0
[29.04.2017 | 18:34:02] Pos: 1418.7, -1731.2, 18.0 | OldPos: 1495.2, -1664.5 | OldOldPos: 1495.2, -1664.5 | PlayerLevel: 13 | Name: Hershel_Reddington | Ping: 63 | Warnings: 0
[29.04.2017 | 19:49:01] Pos: 656.8, -1835.0, 18.6 | OldPos: 749.0, -1834.5 | OldOldPos: 750.6, -1834.5 | PlayerLevel: 1 | Name: Dima_Nowikov | Ping: 95 | Warnings: 0
[30.04.2017 | 01:26:07] Pos: 1135.1, -1708.9, 13.8 | OldPos: 1196.8, -1712.7 | OldOldPos: 1196.8, -1712.7 | PlayerLevel: 1 | Name: Orlando_Corleone | Ping: 61 | Warnings: 0
[30.04.2017 | 01:38:59] Pos: 1103.8, -1207.3, 18.3 | OldPos: 1067.9, -1148.5 | OldOldPos: 1067.9, -1148.5 | PlayerLevel: 1 | Name: Orlando_Corleone | Ping: 67 | Warnings: 0
[30.04.2017 | 02:54:23] Pos: 1815.5, -1580.6, 14.0 | OldPos: 1836.9, -1507.3 | OldOldPos: 1836.9, -1507.3 | PlayerLevel: 2 | Name: Orlando_Corleone | Ping: 62 | Warnings: 0
[30.04.2017 | 14:19:54] Pos: 1401.3, 1903.0, 11.9 | OldPos: 2312.2, -158.9 | OldOldPos: 2312.2, -158.9 | PlayerLevel: 14 | Name: Tolya_Tempo | Ping: 85 | Warnings: 0
[30.04.2017 | 16:18:07] Pos: 1797.4, -1113.3, 84.4 | OldPos: 1788.9, -1294.9 | OldOldPos: 1788.9, -1294.9 | PlayerLevel: 2 | Name: Artem_Kylelllov | Ping: 95 | Warnings: 0
[30.04.2017 | 17:33:00] Pos: -1049.1, -1196.8, 130.0 | OldPos: -392.5, -835.8 | OldOldPos: -391.3, -836.2 | PlayerLevel: 1 | Name: Nicholas_Kelly | Ping: 85 | Warnings: 0
[30.04.2017 | 19:57:07] Pos: 1357.2, -1416.4, 12.9 | OldPos: 1337.0, -1494.6 | OldOldPos: 1336.0, -1496.4 | PlayerLevel: 2 | Name: Homer_Tompson | Ping: 51 | Warnings: 0
[30.04.2017 | 20:50:07] Pos: -1582.5, 465.3, 6.8 | OldPos: -1690.6, 355.0 | OldOldPos: -1692.9, 353.2 | PlayerLevel: 6 | Name: Vladislav_Josan | Ping: 69 | Warnings: 0
[1.05.2017 | 11:32:27] Pos: -2517.3, -208.8, 24.4 | OldPos: -2419.3, -115.9 | OldOldPos: -2419.5, -114.6 | PlayerLevel: 7 | Name: Vladislav_Josan | Ping: 63 | Warnings: 0
[1.05.2017 | 12:15:53] Pos: -278.8, -1632.3, 15.2 | OldPos: -247.1, -1575.4 | OldOldPos: -246.3, -1574.3 | PlayerLevel: 2 | Name: Tobias_Pachelli | Ping: 74 | Warnings: 0
[1.05.2017 | 13:28:12] Pos: 1494.3, -946.8, 52.4 | OldPos: 1620.9, -976.8 | OldOldPos: 1621.3, -976.9 | PlayerLevel: 5 | Name: Diego_Coyote | Ping: 88 | Warnings: 0
[1.05.2017 | 14:03:30] Pos: 2120.2, -2204.8, 13.5 | OldPos: 2416.1, -1838.9 | OldOldPos: 2416.1, -1839.3 | PlayerLevel: 2 | Name: Markel_Uzikov | Ping: 85 | Warnings: 0
[1.05.2017 | 14:37:31] Pos: 1212.0, -1838.4, 13.5 | OldPos: 1181.9, -1747.6 | OldOldPos: 1181.9, -1747.6 | PlayerLevel: 2 | Name: Markel_Uzikov | Ping: 95 | Warnings: 0
[1.05.2017 | 15:21:27] Pos: 1677.8, -175.6, 38.8 | OldPos: 1678.8, -241.7 | OldOldPos: 1678.8, -245.9 | PlayerLevel: 2 | Name: Ivan_Solyarka | Ping: 74 | Warnings: 0
[1.05.2017 | 17:53:34] Pos: 1583.7, -1465.2, 18.7 | OldPos: 1822.3, -1638.2 | OldOldPos: 1822.4, -1639.7 | PlayerLevel: 1 | Name: Bogdan_Shurshik | Ping: 89 | Warnings: 0
[1.05.2017 | 20:05:52] Pos: 1247.9, -1835.6, 12.9 | OldPos: 1335.1, -1856.8 | OldOldPos: 1337.0, -1857.2 | PlayerLevel: 2 | Name: DEMAN_2199 | Ping: 64 | Warnings: 0
[1.05.2017 | 20:15:20] Pos: -1196.7, -797.6, 64.3 | OldPos: -1154.0, -841.5 | OldOldPos: -1152.1, -843.5 | PlayerLevel: 1 | Name: Kiril_Fedorov | Ping: 91 | Warnings: 0
[2.05.2017 | 01:58:40] Pos: 2478.1, -2173.2, 14.2 | OldPos: 2315.9, -2257.9 | OldOldPos: 2315.9, -2257.9 | PlayerLevel: 3 | Name: Aveo_Miki | Ping: 66 | Warnings: 0
[2.05.2017 | 15:00:48] Pos: 1212.7, -1838.2, 13.5 | OldPos: 1299.1, -1827.7 | OldOldPos: 1299.1, -1825.6 | PlayerLevel: 5 | Name: Sergey_Morozov | Ping: 99 | Warnings: 0
[2.05.2017 | 17:14:03] Pos: 1713.6, -1378.4, 13.1 | OldPos: 1543.5, -1439.0 | OldOldPos: 1544.5, -1439.0 | PlayerLevel: 5 | Name: Kostya_Nikolaev | Ping: 73 | Warnings: 0
[3.05.2017 | 00:17:40] Pos: 76.3, -6241.2, 1182.1 | OldPos: -1785.2, 452.0 | OldOldPos: -1782.7, 419.5 | PlayerLevel: 5 | Name: Mixa_Mix | Ping: 72 | Warnings: 0
[3.05.2017 | 10:24:20] Pos: 1801.2, -1897.2, 13.8 | OldPos: 1845.0, -1609.9 | OldOldPos: 1846.8, -1609.8 | PlayerLevel: 6 | Name: Andrei_Lisitsin | Ping: 47 | Warnings: 0
[3.05.2017 | 10:29:33] Pos: 1815.6, -1877.1, 14.4 | OldPos: 1676.5, -1694.7 | OldOldPos: 1676.5, -1694.7 | PlayerLevel: 3 | Name: James_London | Ping: 77 | Warnings: 0
[3.05.2017 | 15:52:18] Pos: 366.9, -1841.9, 8.6 | OldPos: 1430.1, -1638.5 | OldOldPos: 1430.1, -1638.5 | PlayerLevel: 1 | Name: Lod_Dldp | Ping: 94 | Warnings: 0
[3.05.2017 | 17:12:46] Pos: -1420.2, 2599.4, 56.4 | OldPos: -1935.7, 228.7 | OldOldPos: -1935.7, 228.7 | PlayerLevel: 1 | Name: DR_KED | Ping: 95 | Warnings: 0
[3.05.2017 | 17:17:38] Pos: 1595.2, -1846.3, -9.1 | OldPos: 1673.0, -1828.1 | OldOldPos: 1673.0, -1828.1 | PlayerLevel: 2 | Name: Rodrigo_Escolante | Ping: 98 | Warnings: 0
[3.05.2017 | 20:54:41] Pos: -241.8, -1376.7, 10.1 | OldPos: -148.6, -1431.9 | OldOldPos: -147.2, -1433.4 | PlayerLevel: 3 | Name: Thomas_Hugo | Ping: 68 | Warnings: 0
[3.05.2017 | 22:24:18] Pos: 1783.9, -1901.7, 29.7 | OldPos: 1842.2, -1749.0 | OldOldPos: 1840.5, -1749.4 | PlayerLevel: 3 | Name: Evan_Materazzi | Ping: 78 | Warnings: 0
[3.05.2017 | 22:27:18] Pos: -2004.6, 577.5, 35.1 | OldPos: -2003.8, 511.6 | OldOldPos: -2003.7, 509.5 | PlayerLevel: 4 | Name: Egor_Medintsev | Ping: 72 | Warnings: 0
[3.05.2017 | 22:34:15] Pos: 1453.8, -1716.0, 117.8 | OldPos: 1381.0, -1586.6 | OldOldPos: 1381.0, -1586.6 | PlayerLevel: 3 | Name: Dandi_Twine | Ping: 73 | Warnings: 0
[3.05.2017 | 22:34:15] Pos: 1450.4, -1721.1, 140.3 | OldPos: 1252.0, -1713.5 | OldOldPos: 1251.1, -1713.4 | PlayerLevel: 3 | Name: Sashasternberg | Ping: 98 | Warnings: 0
[3.05.2017 | 22:34:16] Pos: 1322.7, -1727.1, 163.4 | OldPos: 1468.2, -1719.9 | OldOldPos: 1468.2, -1719.9 | PlayerLevel: 1 | Name: Bangaranga | Ping: 93 | Warnings: 0
[3.05.2017 | 22:34:20] Pos: 1086.8, -1774.8, 61.3 | OldPos: 1330.0, -1484.0 | OldOldPos: 1330.5, -1481.9 | PlayerLevel: 1 | Name: Leo_Zars | Ping: 82 | Warnings: 0
[3.05.2017 | 22:34:23] Pos: 1315.1, -1714.8, 13.7 | OldPos: 1041.2, -1706.5 | OldOldPos: 1040.5, -1705.8 | PlayerLevel: 14 | Name: Alexandr_Kulikov | Ping: 78 | Warnings: 0
[3.05.2017 | 22:34:25] Pos: 1537.6, -1706.5, 34.0 | OldPos: 1071.1, -1774.5 | OldOldPos: 1071.9, -1774.0 | PlayerLevel: 1 | Name: Octavio_Velcasko | Ping: 62 | Warnings: 0
[3.05.2017 | 22:38:27] Pos: 1816.3, -1684.8, 28.3 | OldPos: 1633.5, -1735.7 | OldOldPos: 1635.9, -1735.8 | PlayerLevel: 4 | Name: Egor_Medintsev | Ping: 98 | Warnings: 0
[3.05.2017 | 22:38:28] Pos: 1805.5, -1661.3, 42.5 | OldPos: 1587.0, -1654.1 | OldOldPos: 1587.0, -1654.1 | PlayerLevel: 3 | Name: Carl_Capone | Ping: 77 | Warnings: 0
[3.05.2017 | 22:49:26] Pos: 969.5, -1633.4, 105.5 | OldPos: 1020.0, -1676.8 | OldOldPos: 1027.1, -1682.9 | PlayerLevel: 1 | Name: Pavel_Pavidlo | Ping: 62 | Warnings: 0
[4.05.2017 | 15:17:14] Pos: 1610.9, -1623.5, 1583.9 | OldPos: 1526.4, -1690.1 | OldOldPos: 1526.5, -1690.8 | PlayerLevel: 1 | Name: Maxim_Arturovich | Ping: 98 | Warnings: 0
[4.05.2017 | 16:21:08] Pos: -1925.8, 97.1, 74.0 | OldPos: -1888.4, 41.1 | OldOldPos: -1886.7, 38.6 | PlayerLevel: 1 | Name: Keon_Weater | Ping: 99 | Warnings: 0
[4.05.2017 | 16:36:40] Pos: 1308.8, -1696.8, 17.4 | OldPos: 1447.7, -1909.8 | OldOldPos: 1447.7, -1909.8 | PlayerLevel: 1 | Name: Kevin_Goldman | Ping: 83 | Warnings: 0
[4.05.2017 | 18:45:43] Pos: 1821.6, -1879.2, 30.1 | OldPos: 1957.0, -2029.5 | OldOldPos: 1957.0, -2029.5 | PlayerLevel: 9 | Name: Danil_Romanow | Ping: 88 | Warnings: 0
[4.05.2017 | 18:45:54] Pos: 1810.9, -1873.1, 29.3 | OldPos: 1813.3, -1770.9 | OldOldPos: 1813.3, -1770.9 | PlayerLevel: 2 | Name: Just_Positive | Ping: 93 | Warnings: 0
[4.05.2017 | 18:46:13] Pos: 1816.8, -1864.3, 43.2 | OldPos: 1698.8, -1730.3 | OldOldPos: 1697.3, -1730.1 | PlayerLevel: 25 | Name: Kirito_Narakame | Ping: 89 | Warnings: 0
[4.05.2017 | 18:47:14] Pos: 1813.2, -1873.7, 29.7 | OldPos: 1820.2, -1738.5 | OldOldPos: 1818.8, -1737.3 | PlayerLevel: 3 | Name: Matvey_Muravkin | Ping: 73 | Warnings: 0
[4.05.2017 | 18:47:18] Pos: 1817.9, -1871.1, 29.7 | OldPos: 1568.1, -1874.8 | OldOldPos: 1564.1, -1874.7 | PlayerLevel: 2 | Name: Jeyson_Klark | Ping: 94 | Warnings: 0
[4.05.2017 | 18:47:46] Pos: 1811.9, -1903.4, 29.7 | OldPos: 1722.8, -1817.2 | OldOldPos: 1721.3, -1816.8 | PlayerLevel: 2 | Name: Nein_Milis | Ping: 99 | Warnings: 0
[4.05.2017 | 19:06:33] Pos: 0.0, -0.0, 1.0 | OldPos: 280.5, 2026.9 | OldOldPos: 280.5, 2026.9 | PlayerLevel: 7 | Name: Nick_Kot | Ping: 88 | Warnings: 0
[4.05.2017 | 21:27:47] Pos: 1814.5, -1894.0, 29.7 | OldPos: 1725.5, -1817.3 | OldOldPos: 1724.0, -1816.8 | PlayerLevel: 2 | Name: Eugene_Brain | Ping: 58 | Warnings: 0
[4.05.2017 | 21:27:49] Pos: 1826.2, -1894.9, 28.6 | OldPos: 1888.2, -2035.1 | OldOldPos: 1888.2, -2035.1 | PlayerLevel: 2 | Name: Pixel_Tison | Ping: 73 | Warnings: 0
[4.05.2017 | 21:28:08] Pos: 1761.0, -1907.6, 29.5 | OldPos: 1521.6, -1730.1 | OldOldPos: 1522.6, -1730.1 | PlayerLevel: 1 | Name: Maks_Nimbols | Ping: 99 | Warnings: 0
[4.05.2017 | 21:29:18] Pos: 1814.1, -1897.7, 28.8 | OldPos: 1586.2, -1869.9 | OldOldPos: 1584.3, -1869.9 | PlayerLevel: 2 | Name: Dusha_Ykey | Ping: 99 | Warnings: 0
[4.05.2017 | 22:09:01] Pos: 1591.2, -1729.6, 14.7 | OldPos: 1683.9, -1729.9 | OldOldPos: 1685.1, -1730.0 | PlayerLevel: 1 | Name: Sa_Serfa | Ping: 98 | Warnings: 0
[5.05.2017 | 09:18:20] Pos: -1569.3, -529.3, 21.5 | OldPos: -1522.4, -570.7 | OldOldPos: -1520.7, -571.8 | PlayerLevel: 4 | Name: Denis_Nice | Ping: 87 | Warnings: 0
[5.05.2017 | 10:08:52] Pos: 1382.1, -1144.0, 23.6 | OldPos: 1457.6, -1158.4 | OldOldPos: 1459.6, -1158.4 | PlayerLevel: 2 | Name: Jester_Fett | Ping: 92 | Warnings: 0
[5.05.2017 | 23:50:20] Pos: -0.0, 0.0, 0.5 | OldPos: 1824.7, -1626.0 | OldOldPos: 1824.7, -1626.0 | PlayerLevel: 1 | Name: Ramiro_Cruz | Ping: 77 | Warnings: 0
[6.05.2017 | 09:04:25] Pos: -930.2, -1400.0, 127.1 | OldPos: -991.9, -1393.1 | OldOldPos: -993.6, -1392.3 | PlayerLevel: 5 | Name: Egor_Medintsev | Ping: 72 | Warnings: 0
[6.05.2017 | 13:22:52] Pos: 1102.5, -1210.1, 17.5 | OldPos: 1069.6, -1412.2 | OldOldPos: 1069.6, -1412.2 | PlayerLevel: 2 | Name: Artem_Lazarev | Ping: 78 | Warnings: 0
[6.05.2017 | 14:35:44] Pos: 2289.7, -1274.7, 28.4 | OldPos: 2296.4, -1206.9 | OldOldPos: 2296.4, -1208.0 | PlayerLevel: 1 | Name: Kate_Leavre | Ping: 90 | Warnings: 0
[6.05.2017 | 16:16:32] Pos: -1446.6, 459.0, 21.9 | OldPos: 1337.5, -1571.2 | OldOldPos: 1339.3, -1571.8 | PlayerLevel: 2 | Name: Denis_Toreno | Ping: 72 | Warnings: 0
[7.05.2017 | 01:19:59] Pos: 1507.0, -2017.2, 30.1 | OldPos: 1802.3, -1902.7 | OldOldPos: 1802.3, -1902.7 | PlayerLevel: 1 | Name: eez | Ping: 56 | Warnings: 0
[7.05.2017 | 12:47:00] Pos: -2012.6, -102.5, 40.5 | OldPos: -1554.7, -519.4 | OldOldPos: -1554.5, -519.8 | PlayerLevel: 1 | Name: Andrey_Deezers | Ping: 63 | Warnings: 0
[7.05.2017 | 13:36:05] Pos: 1760.9, -1905.6, 28.6 | OldPos: 1822.8, -1877.5 | OldOldPos: 1822.4, -1878.7 | PlayerLevel: 4 | Name: Evgeniy_Kross | Ping: 94 | Warnings: 0
[7.05.2017 | 17:01:18] Pos: 1823.6, -1842.9, 19.6 | OldPos: 1825.2, -1906.8 | OldOldPos: 1825.2, -1906.8 | PlayerLevel: 1 | Name: Vasya_Lezebokov | Ping: 57 | Warnings: 0
