[3.05.2017 | 12:50:24] Position: -1249.549, 1043.116, -0.298 | Velocity: -0.187, -0.022, -0.001 | PlayerLevel: 11 | Name: Alexandr_Volosko
[4.05.2017 | 15:48:05] Position: 378.934, -1828.506, 10.519 | Velocity: -0.021, 0.215, 0.129 | PlayerLevel: 1 | Name: Artur_Traver
[4.05.2017 | 21:54:23] Position: -1335.033, 483.200, -0.197 | Velocity: -0.188, 0.022, -0.000 | PlayerLevel: 3 | Name: Santiago_Mariarti
[5.05.2017 | 08:07:39] Position: 1949.578, -1203.512, 17.587 | Velocity: -0.191, -0.047, 0.005 | PlayerLevel: 6 | Name: Cristopher_Rey
[5.05.2017 | 13:45:00] Position: -1409.229, 826.357, -0.017 | Velocity: -0.108, -0.159, -0.002 | PlayerLevel: 2 | Name: Nik_O_Key
[5.05.2017 | 14:33:29] Position: -1475.001, -710.114, -0.335 | Velocity: -0.189, 0.008, 0.000 | PlayerLevel: 11 | Name: Alexandr_Volosko
[5.05.2017 | 16:45:52] Position: -2.178, -1630.897, -0.638 | Velocity: -0.160, 0.521, 0.086 | PlayerLevel: 2 | Name: Carl_Dite
[5.05.2017 | 20:31:55] Position: 1758.199, -1895.250, 18.543 | Velocity: -0.095, 0.102, 0.142 | PlayerLevel: 1 | Name: Artur_Lachetti
[6.05.2017 | 10:38:15] Position: 816.775, 627.864, -0.258 | Velocity: 0.499, 1.001, 0.230 | PlayerLevel: 14 | Name: Carl_Retty
[6.05.2017 | 16:50:29] Position: -1462.405, 690.090, -0.319 | Velocity: -0.241, -0.051, 0.002 | PlayerLevel: 5 | Name: Amir_Ivanov
[6.05.2017 | 17:54:15] Position: 345.927, -1920.909, -0.306 | Velocity: -0.017, -0.192, -0.006 | PlayerLevel: 1 | Name: Artem_Drag
[6.05.2017 | 22:59:51] Position: 522.694, -1924.824, -0.285 | Velocity: -0.041, -0.197, 0.000 | PlayerLevel: 3 | Name: Zhenya_Neon
[7.05.2017 | 12:08:53] Position: -1511.377, 482.751, -0.549 | Velocity: 0.326, -0.038, 0.000 | PlayerLevel: 6 | Name: Andrej_Zagaruk
[7.05.2017 | 16:56:51] Position: -504.525, 1295.933, -0.198 | Velocity: -0.189, -0.024, 0.000 | PlayerLevel: 5 | Name: Illya_Yushchik
