[5.06.2017 | 22:00:31] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:32] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:33] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:33] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:33] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, -0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:00:33] (1090, 2, 1, 1749.2, -1924.3, 29.1, 0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 56.1
[5.06.2017 | 22:02:56] (1093, 0, 1, 1749.1, -1901.2, 29.5, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 55.9
[5.06.2017 | 22:03:45] (1093, 0, 1, 1828.9, -1527.9, 13.5, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 334.0
[5.06.2017 | 22:03:45] (1093, 0, 1, 1828.9, -1527.9, 13.3, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 334.0
[5.06.2017 | 22:03:50] (1093, 0, 1, 1823.0, -1532.9, 20.4, 0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 329.0
[5.06.2017 | 22:03:57] (1093, 0, 1, 1822.6, -1672.0, 13.3, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 189.9
[5.06.2017 | 22:04:01] (1093, 0, 1, 1820.9, -1829.2, 13.2, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 32.6
[5.06.2017 | 22:04:03] (1093, 0, 1, 1821.9, -1791.3, 13.2, -0.0, 0.0, -0.0) Nikita_Caypen | Level: 22 | Dist: 70.5
[5.06.2017 | 22:06:41] (1296, 0, 1, 2283.6, 2070.0, 100.3, 0.0, 0.0, 0.0) Nikita_Caypen | Level: 22 | Dist: 913.0
[23.07.2017 | 00:33:04] (1094, 3, 1, 1529.1, -1326.6, 233.1, -0.0, -0.0, -0.0) Karlo_Falcone | Level: 11 | Dist: 161.9
