[1.05.2017 | 19:00:00] PlayerDistToCar: 22.3 | TickCount: 4 | PlayerLevel: 1 | Name: Somel_Tikerson | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[1.05.2017 | 19:03:17] PlayerDistToCar: 280.7 | TickCount: 167 | PlayerLevel: 1 | Name: Somel_Tikersonn | 0.0 0.0 0.0 | veh 0.0 0.0 -0.0
[2.05.2017 | 01:39:45] PlayerDistToCar: 3044.1 | TickCount: 149 | PlayerLevel: 3 | Name: Floyd_Marcano | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[2.05.2017 | 08:58:05] PlayerDistToCar: 168.3 | TickCount: 872 | PlayerLevel: 1 | Name: Rombik | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[2.05.2017 | 12:59:01] PlayerDistToCar: 240.6 | TickCount: 775 | PlayerLevel: 1 | Name: Red_Coronos | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[2.05.2017 | 18:35:18] PlayerDistToCar: 217.5 | TickCount: 188 | PlayerLevel: 1 | Name: DR_NED | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[2.05.2017 | 20:12:57] PlayerDistToCar: 79.8 | TickCount: 205 | PlayerLevel: 1 | Name: Noire_Terrano | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[2.05.2017 | 20:25:54] PlayerDistToCar: 48.1 | TickCount: 483 | PlayerLevel: 1 | Name: Noire_Terrano | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[2.05.2017 | 20:59:13] PlayerDistToCar: 85.8 | TickCount: 32 | PlayerLevel: 1 | Name: Noire_Terrano | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[2.05.2017 | 21:06:41] PlayerDistToCar: 3078.3 | TickCount: 145 | PlayerLevel: 8 | Name: Stephen_Amell | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[2.05.2017 | 21:09:53] PlayerDistToCar: 158.7 | TickCount: 26 | PlayerLevel: 1 | Name: Noire_Terrano | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[2.05.2017 | 22:04:04] PlayerDistToCar: 217.3 | TickCount: 245 | PlayerLevel: 4 | Name: Yka_Shym | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[3.05.2017 | 01:26:18] PlayerDistToCar: 2615.9 | TickCount: 349 | PlayerLevel: 1 | Name: Dmitry_Kovalchuk | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[3.05.2017 | 01:32:29] PlayerDistToCar: 159.5 | TickCount: 348 | PlayerLevel: 1 | Name: Dmitry_Kovalchuc | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[3.05.2017 | 02:04:51] PlayerDistToCar: 20.4 | TickCount: 66 | PlayerLevel: 1 | Name: Dmitry_Kovalchuj | 0.0 -0.0 0.0 | veh -0.0 0.0 0.0
[3.05.2017 | 02:06:41] PlayerDistToCar: 45.4 | TickCount: 97 | PlayerLevel: 1 | Name: Dmitry_Kovalchue | -0.0 0.0 0.0 | veh -0.0 0.0 0.0
[3.05.2017 | 02:08:17] PlayerDistToCar: 43.0 | TickCount: 410 | PlayerLevel: 1 | Name: Dmitry_Kovalchur | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[3.05.2017 | 02:18:44] PlayerDistToCar: 75.2 | TickCount: 37 | PlayerLevel: 1 | Name: Dmitry_Kovalchuu | -0.1 0.0 0.0 | veh -0.1 0.0 -0.0
[3.05.2017 | 09:48:04] PlayerDistToCar: 344.0 | TickCount: 20 | PlayerLevel: 1 | Name: Mikhail_Mironow | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[3.05.2017 | 09:54:54] PlayerDistToCar: 80.0 | TickCount: 61 | PlayerLevel: 1 | Name: Mikhail_Mironor | 0.0 0.0 0.0 | veh -0.0 0.0 0.0
[3.05.2017 | 10:00:39] PlayerDistToCar: 27.0 | TickCount: 15 | PlayerLevel: 1 | Name: Mikhail_Mironoc | -0.1 0.0 0.0 | veh -0.3 0.1 -0.0
[3.05.2017 | 10:25:21] PlayerDistToCar: 29.6 | TickCount: 271 | PlayerLevel: 1 | Name: Mikhail_Mironon | 0.0 -0.0 0.0 | veh -0.0 -0.0 0.0
[4.05.2017 | 18:43:36] PlayerDistToCar: 25.7 | TickCount: 176 | PlayerLevel: 1 | Name: Morskaya_Cherepaska | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[4.05.2017 | 18:51:00] PlayerDistToCar: 60.5 | TickCount: 639 | PlayerLevel: 1 | Name: Kostya_Bake | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[4.05.2017 | 21:04:44] PlayerDistToCar: 46.3 | TickCount: 405 | PlayerLevel: 1 | Name: Frenk_Simons | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[5.05.2017 | 15:48:43] PlayerDistToCar: 52.1 | TickCount: 526 | PlayerLevel: 1 | Name: Fedya_Mochkin | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[5.05.2017 | 16:39:01] PlayerDistToCar: 167.6 | TickCount: 46 | PlayerLevel: 1 | Name: Igor_Dikiy | 0.0 0.0 0.0 | veh 0.0 0.0 -0.0
[5.05.2017 | 16:50:34] PlayerDistToCar: 24.9 | TickCount: 316 | PlayerLevel: 1 | Name: Alexey_Kit | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[5.05.2017 | 21:24:29] PlayerDistToCar: 50.6 | TickCount: 884 | PlayerLevel: 1 | Name: Alberto_Bueno | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[6.05.2017 | 15:20:58] PlayerDistToCar: 184.2 | TickCount: 304 | PlayerLevel: 1 | Name: Vladimir_Toplez | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[6.05.2017 | 23:53:59] PlayerDistToCar: 224.5 | TickCount: 11 | PlayerLevel: 1 | Name: Dima_Dybrovskis | -0.0 0.0 0.0 | veh 0.0 0.0 0.0
[7.05.2017 | 09:38:16] PlayerDistToCar: 62.9 | TickCount: 834 | PlayerLevel: 1 | Name: Mohammed_Abbalo | 0.8 0.8 1.5 | veh 0.0 0.0 0.0
[7.05.2017 | 12:51:21] PlayerDistToCar: 111.8 | TickCount: 47 | PlayerLevel: 1 | Name: Blak_Silver | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[7.05.2017 | 13:18:21] PlayerDistToCar: 22.6 | TickCount: 10 | PlayerLevel: 1 | Name: Sirgey_Druzhko | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[7.05.2017 | 19:38:07] PlayerDistToCar: 28.8 | TickCount: 376 | PlayerLevel: 1 | Name: Bobma_BomjGanga | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[8.05.2017 | 12:23:21] PlayerDistToCar: 24.4 | TickCount: 711 | PlayerLevel: 1 | Name: Frank_Sivo | 0.0 0.0 0.0 | veh -0.2 0.1 0.0
[8.05.2017 | 21:22:29] PlayerDistToCar: 170.4 | TickCount: 74 | PlayerLevel: 1 | Name: Telfor_LeBerre | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[9.05.2017 | 09:52:02] PlayerDistToCar: 33.5 | TickCount: 202 | PlayerLevel: 1 | Name: Jeffry_Evans | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[9.05.2017 | 11:48:40] PlayerDistToCar: 31.7 | TickCount: 207 | PlayerLevel: 1 | Name: Maks_Hollow | 0.0 0.0 0.0 | veh 0.1 -0.0 -0.0
[9.05.2017 | 18:34:45] PlayerDistToCar: 40.3 | TickCount: 90 | PlayerLevel: 1 | Name: Georgy_Kim | -0.0 -0.0 0.0 | veh 0.0 0.0 0.0
[9.05.2017 | 20:27:08] PlayerDistToCar: 162.8 | TickCount: 369 | PlayerLevel: 1 | Name: Yaron_Hughess | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[9.05.2017 | 20:46:49] PlayerDistToCar: 216.0 | TickCount: 47 | PlayerLevel: 1 | Name: Dmiru_Liaders | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[10.05.2017 | 09:21:01] PlayerDistToCar: 45.4 | TickCount: 273 | PlayerLevel: 1 | Name: Marcos_Olas | 0.0 0.0 0.0 | veh 0.2 -0.0 -0.0
